EventTime;AspectName;Category;Message;FromValue;ToValue;Path;ObjectName;ObjectDescription;SourceName;UserAccount;Condition;SubCondition;NodeName;Component
 05-28-2021 03:26:22;;Process Simple Event;LL Falling;;;;FIT9831;Metanol kimeres tomegarammero;FIT9831;;;;;
 05-28-2021 03:26:22;;Process Simple Event;L Falling;;;;FIT9831;Metanol kimeres tomegarammero;FIT9831;;;;;
 05-28-2021 03:26:33;;Process Simple Event;LLL Rising;;;;FIT9831;Metanol kimeres tomegarammero;FIT9831;;;;;
 05-28-2021 03:26:33;;Process Simple Event;LL Rising;;;;FIT9831;Metanol kimeres tomegarammero;FIT9831;;;;;
 05-28-2021 03:26:33;;Process Simple Event;L Rising;;;;FIT9831;Metanol kimeres tomegarammero;FIT9831;;;;;
 05-28-2021 03:26:33;;Process Simple Event;LLL Falling;;;;FIT0531;Reflux ag mennyiseg;FIT0531;;;;;
 05-28-2021 03:26:33;;Process Simple Event;LL Falling;;;;FIT0531;Reflux ag mennyiseg;FIT0531;;;;;
 05-28-2021 03:26:33;;Process Simple Event;L Falling;;;;FIT0531;Reflux ag mennyiseg;FIT0531;;;;;
 05-28-2021 03:26:35;;Process Simple Event;LLL Falling;;;;FIT9831;Metanol kimeres tomegarammero;FIT9831;;;;;
 05-28-2021 03:26:35;;Process Simple Event;LL Falling;;;;FIT9831;Metanol kimeres tomegarammero;FIT9831;;;;;
 05-28-2021 03:26:35;;Process Simple Event;L Falling;;;;FIT9831;Metanol kimeres tomegarammero;FIT9831;;;;;
 05-28-2021 03:26:38;;Process Simple Event;LLL Falling;;;;FIT0532;Elveteli ag mennyiseg;FIT0532;;;;;
 05-28-2021 03:26:38;;Process Simple Event;LL Falling;;;;FIT0532;Elveteli ag mennyiseg;FIT0532;;;;;
 05-28-2021 03:26:38;;Process Simple Event;L Falling;;;;FIT0532;Elveteli ag mennyiseg;FIT0532;;;;;
 05-28-2021 03:26:43;;System Simple Event;Controller_8   (0000) Status OK;;;;1;;172.16.120.161-0.5.1;;;;;
 05-28-2021 03:26:44;;Process Simple Event;LLL Rising;;;;FIT9831;Metanol kimeres tomegarammero;FIT9831;;;;;
 05-28-2021 03:26:44;;Process Simple Event;LL Rising;;;;FIT9831;Metanol kimeres tomegarammero;FIT9831;;;;;
 05-28-2021 03:26:44;;Process Simple Event;L Rising;;;;FIT9831;Metanol kimeres tomegarammero;FIT9831;;;;;
 05-28-2021 03:26:44;;Process Simple Event;LLL Rising;;;;FIT0532;Elveteli ag mennyiseg;FIT0532;;;;;
 05-28-2021 03:26:44;;Process Simple Event;LL Rising;;;;FIT0532;Elveteli ag mennyiseg;FIT0532;;;;;
 05-28-2021 03:26:44;;Process Simple Event;L Rising;;;;FIT0532;Elveteli ag mennyiseg;FIT0532;;;;;
 05-28-2021 03:26:47;;Process Simple Event;LLL Falling;;;;FIT0532;Elveteli ag mennyiseg;FIT0532;;;;;
 05-28-2021 03:26:47;;Process Simple Event;LL Falling;;;;FIT0532;Elveteli ag mennyiseg;FIT0532;;;;;
 05-28-2021 03:26:47;;Process Simple Event;L Falling;;;;FIT0532;Elveteli ag mennyiseg;FIT0532;;;;;
 05-28-2021 03:26:53;;Process Simple Event;LLL Rising;;;;FIT0532;Elveteli ag mennyiseg;FIT0532;;;;;
 05-28-2021 03:26:53;;Process Simple Event;LL Rising;;;;FIT0532;Elveteli ag mennyiseg;FIT0532;;;;;
 05-28-2021 03:26:53;;Process Simple Event;L Rising;;;;FIT0532;Elveteli ag mennyiseg;FIT0532;;;;;
 05-28-2021 03:26:56;;Process Simple Event;H Falling;;;;PIT2611;Goz nyomas;PIT2611;;;;;
 05-28-2021 03:26:59;;Process Simple Event;LLL Falling;;;;FIT9831;Metanol kimeres tomegarammero;FIT9831;;;;;
 05-28-2021 03:26:59;;Process Simple Event;LL Falling;;;;FIT9831;Metanol kimeres tomegarammero;FIT9831;;;;;
 05-28-2021 03:26:59;;Process Simple Event;L Falling;;;;FIT9831;Metanol kimeres tomegarammero;FIT9831;;;;;
 05-28-2021 03:27:01;;Process Simple Event;LLL Falling;;;;PDIT12117;Nitrogen 6 bar szuro DP meres;PDIT12117;;;;;
 05-28-2021 03:27:01;;Process Simple Event;LL Falling;;;;PDIT12117;Nitrogen 6 bar szuro DP meres;PDIT12117;;;;;
 05-28-2021 03:27:01;;Process Simple Event;L Falling;;;;PDIT12117;Nitrogen 6 bar szuro DP meres;PDIT12117;;;;;
 05-28-2021 03:27:04;;Process Simple Event;LLL Falling;;;;FIT0532;Elveteli ag mennyiseg;FIT0532;;;;;
