EventTime;AspectName;Category;Message;FromValue;ToValue;Path;ObjectName;ObjectDescription;SourceName;UserAccount;Condition;SubCondition;NodeName;Component;Class
 2021-06-01 05:26:52;;System Condition Event;Controller_4   (0000) Channel error;;;;16;;172.16.96.154-3.81.16;;HWError;HWError;;;9950
 2021-06-01 05:26:53;;Process Simple Event;LLL Falling;;;;PIT12919;kopenyter nyomas;PIT12919;;;;;;178
 2021-06-01 05:26:53;;Process Simple Event;LL Falling;;;;PIT12919;kopenyter nyomas;PIT12919;;;;;;178
 2021-06-01 05:26:53;;Process Simple Event;L Falling;;;;PIT12919;kopenyter nyomas;PIT12919;;;;;;178
 2021-06-01 05:26:54;;Process Simple Event;MOP not completed deactivated;;;;KIFAGY2;2 gcs, egymáshoz reteszelve;KIFAGY2Un;;;;;;1
 2021-06-01 05:27:00;;System Condition Event;Controller_4   (0000) Status OK;;;;16;;172.16.96.154-3.81.16;;HWError;HWError;;;9950
 2021-06-01 05:27:01;;System Condition Event;Controller_4   (0000) Channel error;;;;16;;172.16.96.154-3.81.16;;HWError;HWError;;;9950
 2021-06-01 05:27:01;;Process Simple Event;Object error Rising;;;;KS60557;T5 villamos csofutes auto vezerles;KS60557;;;;;;6105
 2021-06-01 05:27:01;;Process Simple Event;Villamos hiba;;;;T5_Csofutes;T5 villamos csofutes;T5_Csofutes;;;;;;6105
 2021-06-01 05:27:02;;Process Simple Event;Object error Falling;;;;KS60557;T5 villamos csofutes auto vezerles;KS60557;;;;;;6105
 2021-06-01 05:27:02;;Process Simple Event;Nincs villamos hiba;;;;T5_Csofutes;T5 villamos csofutes;T5_Csofutes;;;;;;6105
 2021-06-01 05:27:03;;Process Simple Event;LLL Rising;;;;PIT12919;kopenyter nyomas;PIT12919;;;;;;178
 2021-06-01 05:27:03;;Process Simple Event;LL Rising;;;;PIT12919;kopenyter nyomas;PIT12919;;;;;;178
 2021-06-01 05:27:03;;Process Simple Event;L Rising;;;;PIT12919;kopenyter nyomas;PIT12919;;;;;;178
 2021-06-01 05:27:04;;Process Simple Event;LLL Rising;;;;PIT12519;kopenyter nyomas;PIT12519;;;;;;163
 2021-06-01 05:27:06;;System Condition Event;Controller_4   (0000) Status OK;;;;16;;172.16.96.154-3.81.16;;HWError;HWError;;;9950
 2021-06-01 05:27:07;;System Condition Event;Controller_4   (0000) Channel error;;;;16;;172.16.96.154-3.81.16;;HWError;HWError;;;9950
 2021-06-01 05:27:08;;System Condition Event;Controller_4   (0000) Status OK;;;;16;;172.16.96.154-3.81.16;;HWError;HWError;;;9950
 2021-06-01 05:27:08;;Process Simple Event;L Rising;;;;PT14119;kopenyter nyomas;PT14119;;;;;;335
 2021-06-01 05:27:10;;Process Simple Event;L Falling;;;;PT14119;kopenyter nyomas;PT14119;;;;;;335
 2021-06-01 05:27:12;;Process Simple Event;LLL Falling;;;;PIT12519;kopenyter nyomas;PIT12519;;;;;;163
 2021-06-01 05:27:16;;System Condition Event;Controller_4   (0000) Channel error;;;;16;;172.16.96.154-3.81.16;;HWError;HWError;;;9950
 2021-06-01 05:27:16;;Network Messages;The action Sched_AX1_AG_8Wk_25893_1 has been started.;;;;Sched_AX1_AG_8Wk;;{63E44761-B5F5-4C5F-9D06-BED3B15A5133};;;;IMS-AX1;Scheduler;
 2021-06-01 05:27:17;;System Condition Event;Controller_4   (0000) Status OK;;;;16;;172.16.96.154-3.81.16;;HWError;HWError;;;9950
 2021-06-01 05:27:18;;System Condition Event;Controller_4   (0000) Channel error;;;;16;;172.16.96.154-3.81.16;;HWError;HWError;;;9950
 2021-06-01 05:27:21;;System Condition Event;Controller_4   (0000) Status OK;;;;16;;172.16.96.154-3.81.16;;HWError;HWError;;;9950
 2021-06-01 05:27:22;;Process Simple Event;HH Rising;;;;PT15511;5 fokos eloremeno viz nyomas;PT15511;;;;;;395
 2021-06-01 05:27:22;;System Condition Event;Controller_4   (0000) Channel error;;;;16;;172.16.96.154-3.81.16;;HWError;HWError;;;9950
 2021-06-01 05:27:23;;Process Simple Event;HH Falling;;;;PT15511;5 fokos eloremeno viz nyomas;PT15511;;;;;;395
 2021-06-01 05:27:23;;System Condition Event;Controller_4   (0000) Status OK;;;;16;;172.16.96.154-3.81.16;;HWError;HWError;;;9950
 2021-06-01 05:27:23;;Process Simple Event;Object error Rising;;;;KS60557;T5 villamos csofutes auto vezerles;KS60557;;;;;;6105
 2021-06-01 05:27:23;;Process Simple Event;Villamos hiba;;;;T5_Csofutes;T5 villamos csofutes;T5_Csofutes;;;;;;6105
 2021-06-01 05:27:24;;System Condition Event;Controller_4   (0000) Channel error;;;;16;;172.16.96.154-3.81.16;;HWError;HWError;;;9950
 2021-06-01 05:27:24;;Process Simple Event;Object error Falling;;;;KS60557;T5 villamos csofutes auto vezerles;KS60557;;;;;;6105
 2021-06-01 05:27:24;;Process Simple Event;Nincs villamos hiba;;;;T5_Csofutes;T5 villamos csofutes;T5_Csofutes;;;;;;6105
 2021-06-01 05:27:25;;Process Simple Event;LLL Rising;;;;PIT12519;kopenyter nyomas;PIT12519;;;;;;163
 2021-06-01 05:27:28;;Process Simple Event;L Rising;;;;PT14119;kopenyter nyomas;PT14119;;;;;;335
 2021-06-01 05:27:29;;Process Simple Event;L Falling;;;;PT14119;kopenyter nyomas;PT14119;;;;;;335
 2021-06-01 05:27:29;;System Condition Event;Controller_4   (0000) Status OK;;;;16;;172.16.96.154-3.81.16;;HWError;HWError;;;9950
 2021-06-01 05:27:30;;Services;Archive device AD_AX1_8Wk disk usage reached set limit.;;;;AD_AX1_8Wk;;{62E3E0DB-95F1-45D8-91CD-D3DFBC06FD12};;;;IMS-AX1;Industrial IT Archive;
 2021-06-01 05:27:30;;Network Messages;The action Sched_AX1_AG_8Wk_25893_1 completed OK.;;;;Scheduler;Industrial IT Application Scheduler;{545FC42D-F13A-4137-B001-0185947FCBDB};;;;IMS-AX1;Scheduler;
 2021-06-01 05:27:30;;Process Simple Event;HH Rising;;;;TT60502;T5 villamos csofutes - T5.2;TT60502;;;;;;6005
 2021-06-01 05:27:30;;Process Simple Event;Futokabel tulmelegedett;;;;T5_Csofutes;T5 villamos csofutes;T5_Csofutes;;;;;;6105
 2021-06-01 05:27:31;;System Condition Event;Controller_4   (0000) Channel error;;;;16;;172.16.96.154-3.81.16;;HWError;HWError;;;9950
 2021-06-01 05:27:32;;System Condition Event;Controller_4   (0000) Status OK;;;;16;;172.16.96.154-3.81.16;;HWError;HWError;;;9950
 2021-06-01 05:27:32;;Process Simple Event;LLL Falling;;;;PIT12519;kopenyter nyomas;PIT12519;;;;;;163
 2021-06-01 05:27:33;;System Condition Event;Controller_4   (0000) Channel error;;;;16;;172.16.96.154-3.81.16;;HWError;HWError;;;9950
 2021-06-01 05:27:34;;System Condition Event;Controller_4   (0000) Status OK;;;;16;;172.16.96.154-3.81.16;;HWError;HWError;;;9950
 2021-06-01 05:27:35;;System Condition Event;Controller_4   (0000) Channel error;;;;16;;172.16.96.154-3.81.16;;HWError;HWError;;;9950
 2021-06-01 05:27:36;;System Condition Event;Controller_4   (0000) Status OK;;;;16;;172.16.96.154-3.81.16;;HWError;HWError;;;9950
 2021-06-01 05:27:38;;System Condition Event;Controller_4   (0000) Channel error;;;;16;;172.16.96.154-3.81.16;;HWError;HWError;;;9950
 2021-06-01 05:27:39;;System Condition Event;Controller_4   (0000) Status OK;;;;16;;172.16.96.154-3.81.16;;HWError;HWError;;;9950
 2021-06-01 05:27:39;;Process Simple Event;MOP not completed deactivated;;;;KIFAGY2;2 gcs, egymáshoz reteszelve;KIFAGY2Un;;;;;;1
 2021-06-01 05:27:40;;System Condition Event;Controller_4   (0000) Channel error;;;;16;;172.16.96.154-3.81.16;;HWError;HWError;;;9950
 2021-06-01 05:27:43;;System Condition Event;Controller_4   (0000) Status OK;;;;16;;172.16.96.154-3.81.16;;HWError;HWError;;;9950
 2021-06-01 05:27:44;;Process Simple Event;LLL Rising;;;;PIT12519;kopenyter nyomas;PIT12519;;;;;;163
 2021-06-01 05:27:45;;System Condition Event;Controller_4   (0000) Channel error;;;;16;;172.16.96.154-3.81.16;;HWError;HWError;;;9950
 2021-06-01 05:27:48;;Process Simple Event;L Rising;;;;PT14119;kopenyter nyomas;PT14119;;;;;;335
 2021-06-01 05:27:49;;System Condition Event;Controller_4   (0000) Status OK;;;;16;;172.16.96.154-3.81.16;;HWError;HWError;;;9950
 2021-06-01 05:27:50;;Process Simple Event;L Falling;;;;PT14119;kopenyter nyomas;PT14119;;;;;;335
 2021-06-01 05:27:50;;System Condition Event;Controller_4   (0000) Channel error;;;;16;;172.16.96.154-3.81.16;;HWError;HWError;;;9950
 2021-06-01 05:27:52;;System Condition Event;Controller_4   (0000) Status OK;;;;16;;172.16.96.154-3.81.16;;HWError;HWError;;;9950
 2021-06-01 05:27:53;;System Condition Event;Controller_4   (0000) Channel error;;;;16;;172.16.96.154-3.81.16;;HWError;HWError;;;9950
 2021-06-01 05:27:53;;Process Simple Event;LLL Falling;;;;PIT12519;kopenyter nyomas;PIT12519;;;;;;163
 2021-06-01 05:27:56;;Process Simple Event;MOP not completed activated;;;;KIFAGY1;2 gcs, egymáshoz reteszelve;KIFAGY1Un;;;;;;1
 2021-06-01 05:27:58;;Process Simple Event;MOP not completed activated;;;;KIFAGY2;2 gcs, egymáshoz reteszelve;KIFAGY2Un;;;;;;1
 2021-06-01 05:27:58;;Process Simple Event;Abnormal state Rising;;;;E101_Legzo_BI;GCS_Interlock;E101_Legzo_BI;;;;;;9000
 2021-06-01 05:28:01;;Process Simple Event;LLL Rising;;;;PIT12519;kopenyter nyomas;PIT12519;;;;;;163
 2021-06-01 05:28:04;;System Condition Event;Controller_4   (0000) Status OK;;;;16;;172.16.96.154-3.81.16;;HWError;HWError;;;9950
 2021-06-01 05:28:06;;Process Simple Event;L Rising;;;;PT14119;kopenyter nyomas;PT14119;;;;;;335
 2021-06-01 05:28:08;;Process Simple Event;L Falling;;;;PT14119;kopenyter nyomas;PT14119;;;;;;335
 2021-06-01 05:28:10;;System Condition Event;Controller_4   (0000) Channel error;;;;16;;172.16.96.154-3.81.16;;HWError;HWError;;;9950
 2021-06-01 05:28:11;;Process Simple Event;LLL Falling;;;;PIT12519;kopenyter nyomas;PIT12519;;;;;;163
 2021-06-01 05:28:12;;System Condition Event;Controller_4   (0000) Status OK;;;;16;;172.16.96.154-3.81.16;;HWError;HWError;;;9950
 2021-06-01 05:28:13;;System Condition Event;Controller_4   (0000) Channel error;;;;16;;172.16.96.154-3.81.16;;HWError;HWError;;;9950
 2021-06-01 05:28:15;;System Condition Event;Controller_4   (0000) Status OK;;;;16;;172.16.96.154-3.81.16;;HWError;HWError;;;9950
 2021-06-01 05:28:16;;System Condition Event;Controller_4   (0000) Channel error;;;;16;;172.16.96.154-3.81.16;;HWError;HWError;;;9950
 2021-06-01 05:28:18;;System Condition Event;Controller_4   (0000) Status OK;;;;16;;172.16.96.154-3.81.16;;HWError;HWError;;;9950
 2021-06-01 05:28:19;;Process Simple Event;LLL Rising;;;;PIT12519;kopenyter nyomas;PIT12519;;;;;;163
 2021-06-01 05:28:20;;System Condition Event;Controller_4   (0000) Channel error;;;;16;;172.16.96.154-3.81.16;;HWError;HWError;;;9950
 2021-06-01 05:28:21;;System Condition Event;Controller_4   (0000) Status OK;;;;16;;172.16.96.154-3.81.16;;HWError;HWError;;;9950
 2021-06-01 05:28:23;;System Condition Event;Controller_4   (0000) Channel error;;;;16;;172.16.96.154-3.81.16;;HWError;HWError;;;9950
 2021-06-01 05:28:25;;Process Simple Event;L Rising;;;;PT14119;kopenyter nyomas;PT14119;;;;;;335
 2021-06-01 05:28:26;;System Condition Event;Controller_4   (0000) Status OK;;;;16;;172.16.96.154-3.81.16;;HWError;HWError;;;9950
 2021-06-01 05:28:26;;Process Simple Event;L Falling;;;;PT14119;kopenyter nyomas;PT14119;;;;;;335
 2021-06-01 05:28:28;;System Condition Event;Controller_4   (0000) Channel error;;;;16;;172.16.96.154-3.81.16;;HWError;HWError;;;9950
 2021-06-01 05:28:29;;System Condition Event;Controller_4   (0000) Status OK;;;;16;;172.16.96.154-3.81.16;;HWError;HWError;;;9950
 2021-06-01 05:28:29;;Process Simple Event;LLL Falling;;;;PIT12519;kopenyter nyomas;PIT12519;;;;;;163
 2021-06-01 05:28:29;;Process Simple Event;LLL Falling;;;;PIT12919;kopenyter nyomas;PIT12919;;;;;;178
 2021-06-01 05:28:29;;Process Simple Event;LL Falling;;;;PIT12919;kopenyter nyomas;PIT12919;;;;;;178
 2021-06-01 05:28:29;;Process Simple Event;L Falling;;;;PIT12919;kopenyter nyomas;PIT12919;;;;;;178
 2021-06-01 05:28:30;;System Condition Event;Controller_4   (0000) Channel error;;;;16;;172.16.96.154-3.81.16;;HWError;HWError;;;9950
 2021-06-01 05:28:32;;System Condition Event;Controller_4   (0000) Status OK;;;;16;;172.16.96.154-3.81.16;;HWError;HWError;;;9950
 2021-06-01 05:28:33;;System Condition Event;Controller_4   (0000) Channel error;;;;16;;172.16.96.154-3.81.16;;HWError;HWError;;;9950
 2021-06-01 05:28:35;;System Condition Event;Controller_4   (0000) Status OK;;;;16;;172.16.96.154-3.81.16;;HWError;HWError;;;9950
 2021-06-01 05:28:36;;System Condition Event;Controller_4   (0000) Channel error;;;;16;;172.16.96.154-3.81.16;;HWError;HWError;;;9950
 2021-06-01 05:28:38;;Process Simple Event;LLL Rising;;;;PIT12919;kopenyter nyomas;PIT12919;;;;;;178
 2021-06-01 05:28:38;;Process Simple Event;LL Rising;;;;PIT12919;kopenyter nyomas;PIT12919;;;;;;178
 2021-06-01 05:28:38;;Process Simple Event;L Rising;;;;PIT12919;kopenyter nyomas;PIT12919;;;;;;178
