EventTime;AspectName;Category;Message;FromValue;ToValue;Path;ObjectName;ObjectDescription;SourceName;UserAccount;Condition;SubCondition;NodeName;Component;Class
 2021-06-01 05:29:39;;System Condition Event;Controller_4   (0000) Status OK;;;;16;;172.16.96.154-3.81.16;;HWError;HWError;;;9950
 2021-06-01 05:29:40;;System Condition Event;Controller_4   (0000) Channel error;;;;16;;172.16.96.154-3.81.16;;HWError;HWError;;;9950
 2021-06-01 05:29:41;;System Condition Event;Controller_4   (0000) Status OK;;;;16;;172.16.96.154-3.81.16;;HWError;HWError;;;9950
 2021-06-01 05:29:43;;Process Simple Event;L Rising;;;;PT14119;kopenyter nyomas;PT14119;;;;;;335
 2021-06-01 05:29:43;;System Condition Event;Controller_4   (0000) Channel error;;;;16;;172.16.96.154-3.81.16;;HWError;HWError;;;9950
 2021-06-01 05:29:45;;Process Simple Event;L Falling;;;;PT14119;kopenyter nyomas;PT14119;;;;;;335
 2021-06-01 05:29:46;;Services;Failed to collect 1 logs via collector OPC;;;;Basic History on CS02-UNI2;;{7D562315-DBE4-43F5-A4F8-8756AD576613};;;;CS02-UNI2;AdvHtHistorySrv;
 2021-06-01 05:29:47;;Process Simple Event;LLL Falling;;;;PIT12519;kopenyter nyomas;PIT12519;;;;;;163
 2021-06-01 05:29:49;;System Condition Event;Controller_4   (0000) Status OK;;;;16;;172.16.96.154-3.81.16;;HWError;HWError;;;9950
 2021-06-01 05:29:51;;System Condition Event;Controller_4   (0000) Channel error;;;;16;;172.16.96.154-3.81.16;;HWError;HWError;;;9950
 2021-06-01 05:29:52;;System Condition Event;Controller_4   (0000) Status OK;;;;16;;172.16.96.154-3.81.16;;HWError;HWError;;;9950
 2021-06-01 05:29:53;;System Condition Event;Controller_4   (0000) Channel error;;;;16;;172.16.96.154-3.81.16;;HWError;HWError;;;9950
